,Year,Value,Month
4,1884,-0.21,3
5,1885,-0.16,3
6,1886,-0.29,3
7,1887,-0.17,3
8,1888,-0.31,3
9,1889,0.11,3
10,1890,-0.32,3
11,1891,-0.22,3
12,1892,-0.31,3
13,1893,-0.22,3
14,1894,-0.2,3
15,1895,-0.29,3
16,1896,-0.2,3
17,1897,-0.18,3
18,1898,-0.66,3
19,1899,-0.26,3
20,1900,-0.05,3
21,1901,-0.03,3
22,1902,-0.21,3
23,1903,-0.28,3
24,1904,-0.52,3
25,1905,-0.4,3
26,1906,-0.14,3
27,1907,-0.28,3
28,1908,-0.6,3
29,1909,-0.54,3
30,1910,-0.43,3
31,1911,-0.58,3
32,1912,-0.32,3
33,1913,-0.41,3
34,1914,-0.16,3
35,1915,-0.11,3
36,1916,-0.3,3
37,1917,-0.43,3
38,1918,-0.18,3
39,1919,-0.24,3
40,1920,-0.06,3
41,1921,-0.22,3
42,1922,-0.08,3
43,1923,-0.27,3
44,1924,-0.12,3
45,1925,-0.17,3
46,1926,0.08,3
47,1927,-0.26,3
48,1928,-0.26,3
49,1929,-0.27,3
50,1930,-0.05,3
51,1931,-0.01,3
52,1932,-0.18,3
53,1933,-0.25,3
54,1934,-0.26,3
55,1935,-0.15,3
56,1936,-0.21,3
57,1937,-0.18,3
58,1938,0.03,3
59,1939,-0.19,3
60,1940,0.07,3
61,1941,0.1,3
62,1942,0.18,3
63,1943,0.08,3
64,1944,0.37,3
65,1945,0.11,3
66,1946,0.0,3
67,1947,-0.01,3
68,1948,-0.19,3
69,1949,-0.07,3
70,1950,-0.09,3
71,1951,-0.17,3
72,1952,-0.05,3
73,1953,0.15,3
74,1954,-0.09,3
75,1955,-0.31,3
76,1956,-0.2,3
77,1957,-0.07,3
78,1958,0.12,3
79,1959,0.2,3
80,1960,-0.21,3
81,1961,0.16,3
82,1962,0.12,3
83,1963,-0.02,3
84,1964,-0.14,3
85,1965,-0.1,3
86,1966,-0.0,3
87,1967,0.0,3
88,1968,0.15,3
89,1969,0.12,3
90,1970,0.03,3
91,1971,-0.14,3
92,1972,0.0,3
93,1973,0.33,3
94,1974,-0.05,3
95,1975,0.11,3
96,1976,-0.23,3
97,1977,0.31,3
98,1978,0.22,3
99,1979,0.25,3
100,1980,0.24,3
101,1981,0.41,3
102,1982,0.09,3
103,1983,0.43,3
104,1984,0.28,3
105,1985,0.19,3
106,1986,0.3,3
107,1987,0.26,3
108,1988,0.49,3
109,1989,0.34,3
110,1990,0.73,3
111,1991,0.38,3
112,1992,0.44,3
113,1993,0.42,3
114,1994,0.36,3
115,1995,0.47,3
116,1996,0.33,3
117,1997,0.47,3
118,1998,0.64,3
119,1999,0.37,3
120,2000,0.56,3
121,2001,0.63,3
122,2002,0.79,3
123,2003,0.57,3
124,2004,0.7,3
125,2005,0.69,3
126,2006,0.6,3
127,2007,0.67,3
128,2008,0.77,3
129,2009,0.58,3
130,2010,0.85,3
131,2011,0.59,3
132,2012,0.52,3
133,2013,0.62,3
134,2014,0.77,3
135,2015,0.9,3
0,1880,-0.06,4
1,1881,0.06,4
2,1882,-0.13,4
3,1883,-0.18,4
4,1884,-0.19,4
5,1885,-0.27,4
6,1886,-0.18,4
7,1887,-0.2,4
8,1888,-0.18,4
9,1889,0.04,4
10,1890,-0.27,4
11,1891,-0.26,4
12,1892,-0.31,4
13,1893,-0.34,4
14,1894,-0.3,4
15,1895,-0.18,4
16,1896,-0.25,4
17,1897,-0.0,4
18,1898,-0.35,4
19,1899,-0.2,4
20,1900,-0.1,4
21,1901,-0.07,4
22,1902,-0.27,4
23,1903,-0.35,4
24,1904,-0.47,4
25,1905,-0.45,4
26,1906,-0.05,4
27,1907,-0.35,4
28,1908,-0.48,4
29,1909,-0.53,4
30,1910,-0.34,4
31,1911,-0.52,4
32,1912,-0.21,4
33,1913,-0.36,4
34,1914,-0.25,4
35,1915,0.02,4
36,1916,-0.2,4
37,1917,-0.32,4
38,1918,-0.3,4
39,1919,-0.07,4
40,1920,-0.21,4
41,1921,-0.21,4
42,1922,-0.13,4
43,1923,-0.34,4
44,1924,-0.25,4
45,1925,-0.16,4
46,1926,-0.13,4
