sender	recipient	total
029851	021572	10.5
015569	023620	10.45
029989	023584	10.3333333333
037598	024826	10.3333333333
009823	002786	10.3333333333
025049	022069	10.3333333333
017728	037227	10.3333333333
029115	037280	10.3333333333
030521	019484	10.3333333333
007784	033587	10.2655844156
007372	020240	10.25
039071	006095	10.2
023058	007048	10.1666666667
039324	004359	10.1666666667
024504	024504	10.1666666667
029232	002966	10.125
001676	016694	10.0833333333
030294	001364	10.0666666667
009287	009287	10.0075757576
031476	015149	10.0
003255	026626	10.0
018534	026412	10.0
033940	003202	10.0
039086	003880	10.0
004284	030234	10.0
026668	004139	10.0
003255	024942	10.0
033934	011711	10.0
027561	027561	10.0
031927	031927	10.0
029939	021934	10.0
024018	008419	10.0
030815	002524	10.0
038955	027292	10.0
035425	018876	10.0
001229	022501	10.0
013018	007461	10.0
030552	019161	10.0
003255	005189	10.0
039197	009651	10.0
005767	032360	10.0
004976	025049	10.0
009651	004555	10.0
002118	002118	9.86666666667
038528	017954	9.83333333333
003356	017938	9.83333333333
002191	017609	9.82738095238
021873	031411	9.825
024997	029232	9.75
014155	005201	9.66071428571
032859	029053	9.58333333333
001541	022245	9.53333333333
010376	010376	9.52579365079
012189	025001	9.5
006787	006787	9.5
026541	022484	9.5
006829	012381	9.5
011679	024997	9.5
039531	030075	9.5
034360	013169	9.5
038442	038442	9.33333333333
030785	037721	9.33333333333
014870	023775	9.33333333333
023775	014870	9.33333333333
019197	034565	9.33333333333
008641	032859	9.33333333333
002676	033104	9.25
033603	033603	9.21587301587
013548	030494	9.2
016694	001676	9.2
022536	022327	9.2
032386	024997	9.16666666667
022846	037795	9.16666666667
023651	009169	9.16666666667
002966	029232	9.125
023811	023284	9.11904761905
033603	037821	9.10476190476
015671	020950	9.04642857143
015671	024030	9.04642857143
008849	005025	9.0
025302	026023	9.0
015858	015858	9.0
025896	013376	9.0
005805	011623	9.0
013002	003215	9.0
000976	032787	9.0
019213	019213	9.0
034221	031587	9.0
036031	026318	9.0
031786	035116	9.0
018762	020537	9.0
036207	005875	9.0
021189	036659	9.0
003255	000171	9.0
003255	000734	9.0
038062	023976	9.0
013369	006701	9.0
004697	024750	9.0
018352	008198	8.95
021957	029232	8.94166666667
020016	034105	8.89090909091
018352	039638	8.86666666667
032810	018917	8.83333333333
019449	033348	8.77142857143
035683	011088	8.75
027466	032859	8.75
018839	038558	8.72976190476
032150	026635	8.7
023129	005708	8.69841269841
011088	011088	8.66666666667
033817	012766	8.66666666667
019341	037294	8.66666666667
030796	015436	8.66666666667
017514	009778	8.64015151515
006404	029053	8.61111111111
033603	032463	8.60476190476
033603	021223	8.60476190476
033603	015495	8.60476190476
033603	002940	8.60476190476
009660	001364	8.58333333333
021348	007606	8.58333333333
009169	023651	8.58333333333
031977	017189	8.57692307692
008641	017609	8.54761904762
020709	012804	8.54600677101
007784	019717	8.53939393939
007784	008099	8.53939393939
007784	007784	8.53939393939
031663	031663	8.5373015873
035002	021572	8.5
038685	007745	8.5
011301	018575	8.5
037958	037292	8.5
006595	007852	8.5
006792	016881	8.5
020212	020212	8.5
003021	017160	8.5
024191	028297	8.5
021873	003422	8.5
012140	012140	8.5
033661	036659	8.5
016215	035325	8.5
008012	013369	8.5
018352	025185	8.48333333333
002191	011803	8.45238095238
014155	002885	8.375
017204	036912	8.33333333333
014025	014025	8.33333333333
033703	007852	8.33333333333
025661	031459	8.33333333333
007988	007988	8.25
001905	008457	8.25
027313	005785	8.25
035419	011610	8.2
032020	016041	8.17821067821
034604	034604	8.16666666667
037397	010602	8.16666666667
003307	012022	8.16666666667
028069	030445	8.16666666667
033411	026182	8.16666666667
028460	014576	8.16666666667
006697	030447	8.16666666667
003307	011149	8.16666666667
019896	019896	8.125
028485	033528	8.08333333333
038124	037295	8.08333333333
033817	006335	8.08333333333
021148	019174	8.08333333333
008849	007635	8.08333333333
013439	028716	8.0
014751	014751	8.0
014910	022445	8.0
005470	031237	8.0
011824	032989	8.0
027216	004107	8.0
035776	035776	8.0
010619	038348	8.0
027216	033331	8.0
021690	000726	8.0
027216	027216	8.0
021816	030572	8.0
029511	003055	8.0
031237	005470	8.0
001155	031410	8.0
010659	019401	8.0
038507	006482	8.0
030099	029900	8.0
030099	003422	8.0
015107	021385	8.0
033782	016698	8.0
009651	039197	8.0
012174	027511	8.0
033331	033331	8.0
002796	002796	8.0
014234	022636	8.0
036499	022205	8.0
034604	009905	8.0
019723	007125	8.0
033331	004107	8.0
014502	018630	8.0
005201	014155	8.0
031920	003330	8.0
014476	034763	8.0
039721	025954	8.0
010054	022651	8.0
033652	008641	8.0
035005	002274	8.0
019387	031838	8.0
006701	013369	8.0
029026	038685	8.0
038348	010619	8.0
004791	014310	8.0
033331	027216	8.0
036775	036775	7.95833333333
001767	008641	7.95238095238
013525	005920	7.95
015056	015056	7.95
030294	019174	7.95
008910	008160	7.93333333333
005248	016116	7.92261904762
027752	011864	7.91666666667
021122	009137	7.91666666667
003422	021873	7.91025641026
037509	039717	7.88257575758
024756	024756	7.86313131313
006311	011659	7.83333333333
001421	036601	7.83333333333
032485	030265	7.80952380952
021975	032386	7.79166666667
008308	026191	7.78333333333
008539	015758	7.77777777778
033603	012374	7.77142857143
030294	021148	7.73333333333
032386	031997	7.72619047619
031050	019812	7.69682539683
029999	012265	7.68253968254
022402	039012	7.66666666667
019341	032483	7.66666666667
015903	008641	7.66666666667
024221	007266	7.66666666667
035489	003533	7.66666666667
031888	025195	7.65384615385
029624	029232	7.63333333333
034280	027010	7.61904761905
037107	025024	7.61363636364
004901	011775	7.61111111111
004607	021877	7.58333333333
009773	019537	7.58333333333
039153	033292	7.5
031786	002452	7.5
022896	028475	7.5
015340	013881	7.5
008457	001905	7.5
022171	007000	7.5
003324	030423	7.5
021570	018782	7.5
036491	038556	7.5
026993	005323	7.5
006409	029771	7.5
016149	003880	7.5
018352	033539	7.5
029813	029813	7.5
026516	015645	7.5
022327	000170	7.5
026831	007461	7.5
006697	000057	7.5
002912	030153	7.5
028635	033348	7.46666666667
002706	021846	7.45238095238
033652	025024	7.43333333333
012684	029359	7.41666666667
009208	016088	7.41025641026
023811	014763	7.39682539683
032859	015903	7.38181818182
012579	028597	7.33333333333
020751	034695	7.33333333333
032810	019197	7.33333333333
021175	021175	7.33333333333
037645	021877	7.33333333333
038463	022989	7.33333333333
000188	006048	7.33333333333
021946	014079	7.33333333333
013397	003578	7.30952380952
008198	018352	7.29292929293
002222	009365	7.26666666667
020962	037382	7.25
012793	022065	7.25
024997	032386	7.25
033782	006594	7.25
029997	021628	7.25
012255	038813	7.22222222222
008641	002191	7.21428571429
015394	014465	7.2
025185	018352	7.2
016694	037320	7.2
005217	037439	7.2
017609	032859	7.17619047619
029053	032208	7.17063492063
033652	015903	7.16666666667
039638	008198	7.16666666667
015750	025930	7.16666666667
001196	026194	7.16666666667
018976	008640	7.16666666667
019043	009208	7.16666666667
007993	034865	7.16666666667
029624	037326	7.15043290043
014310	004791	7.07692307692
008641	033652	7.04761904762
015858	024756	7.03333333333
029232	032386	7.03333333333
022404	022404	7.0
025024	033652	7.0
037709	029232	7.0
017187	012631	7.0
033988	034482	7.0
038235	017312	7.0
023435	014235	7.0
029413	029413	7.0
027250	007082	7.0
009182	035636	7.0
023743	007811	7.0
028679	002191	7.0
008828	031405	7.0
006536	016006	7.0
005984	035512	7.0
020339	020339	7.0
026921	013858	7.0
029277	006027	7.0
018011	026980	7.0
001149	003107	7.0
021570	016445	7.0
013382	037996	7.0
035146	012097	7.0
002316	006183	7.0
001580	023181	7.0
017041	033459	7.0
021700	023010	7.0
018936	023221	7.0
000543	030409	7.0
008471	032697	7.0
014516	000420	7.0
000529	012202	7.0
007385	021222	7.0
028939	036393	7.0
008551	008551	7.0
003255	007260	7.0
033652	036771	7.0
000961	023901	7.0
013497	005356	7.0
015390	022173	7.0
031105	022072	7.0
021667	021667	7.0
003660	031958	7.0
026668	027162	7.0
003255	013382	7.0
037321	016609	7.0
023651	015540	6.93333333333
013718	013718	6.91666666667
008026	015892	6.91666666667
030294	030294	6.9
017830	019989	6.84090909091
005708	028608	6.83333333333
035513	021957	6.83333333333
022069	023413	6.83333333333
037589	023224	6.83333333333
020718	028846	6.83333333333
002838	003145	6.83333333333
025684	011422	6.83333333333
010719	029359	6.83333333333
017757	002136	6.81666666667
039432	038077	6.79563492063
000685	004447	6.76666666667
000121	028121	6.75
012978	006096	6.75
032608	030977	6.75
032386	021975	6.74358974359
019197	032810	6.70952380952
005811	014834	6.7
028121	000121	6.7
001167	027511	6.7
030351	002627	6.66666666667
037721	030785	6.66666666667
006697	011842	6.66666666667
032742	016387	6.66666666667
026298	037456	6.66666666667
026298	031101	6.66666666667
035906	010587	6.66666666667
025467	022245	6.64285714286
001268	027692	6.64285714286
016041	032020	6.58412698413
013718	013845	6.58333333333
028597	002901	6.58333333333
005708	023129	6.58333333333
020455	027297	6.58333333333
018910	037319	6.58333333333
022724	026191	6.58333333333
007372	033033	6.58333333333
033587	019717	6.58327228327
033587	033587	6.58327228327
033587	008099	6.58327228327
024983	007624	6.54285714286
023096	026792	6.53333333333
029562	006594	6.5
009356	020338	6.5
038319	037287	6.5
027141	001926	6.5
033469	007302	6.5
013753	033654	6.5
