DCP RECORD,Book ID .,Building Address,Building Name,Building Location,Year Completed,Community District,Block,Lot,,,,,,,,,,,,,,,,,,Public Space 1
624,172,728 Second Avenue,Churchill,East side of Second Avenue between East 39th and 40th Streets,1966,6,945,1101,1103,,,,,,,,,,,,,,,,,Residential Plaza
619,173,250 East 40th Street,Highpoint,Southwest corner of East 40th Street and Second Avenue,1988,6,920,25,,,34,35,36,41,1001-1239,,,,,,,,,,,
617,174,222 East 39th Street,Eastgate Tower Hotel,South side of East 39th Street between Second and Third Avenues,1972,6,919,42,,,,,,,,,,,,,,,,,,Residential Plaza
610,175,600 Third Avenue,,West side of Third Avenue between East 39th and 40th Streets,1970,6,895,45,,,,,,,,,,,,,,,,,,Plaza
626,176,622 Third Avenue,Grand Central Plaza,Northwest corner of East 40th Street and Third Avenue,1971,6,1295,33,,,,,,,,,,,,,,,,,,Plaza
638,177,235 East 40th Street,Vanderbilt,South side of East 41st Street between Second and Third Avenues,1986,6,1314,1001,1239,,,,,,,,,,,,,,,,,Plaza
637,178,245 East 40th Street,Marlborough,Northwest corner of East 40th Street and Second Avenue,1973,6,1314,21,,,,,,,,,,,,,,,,,,Plaza
639,179,212 East 42nd Street,New York Helmsley Hotel,South side of East 42nd Street between Second and Third Avenues,1980,6,1315,44,,,,,,,,,,,,,,,,,,Plaza
640,180,201 East 42nd Street,,Northeast corner of East 42nd Street and Third Avenue,1965,6,1316,1,,,,,,,,,,,,,,,,,,Plaza
688,181,425 Lexington Avenue,,Full blockfront on east side of Lexington Avenue between East 43rd and 44th Streets,1987,6,1298,23,,,,,,,,,,,,,,,,,,Plaza
627,182,140 East 45th Street,Two Grand Central Tower,South side of East 45th Street between Third and Lexington  Avenues,1982,6,1299,27,,,,,,,,,,,,,,,,,,
641,183,685 Third Avenue,,East side of Third Avenue between East 43rd and 44th Streets,1975,6,1317,1,,,,,,,,,,,,,,,,,,Mini-Park
661,184,303 East 43rd Street,International Plaza,Northeast corner of Second Avenue and East 43rd Street,1984,6,1336,1001,1080,,,,,,,,,,,,,,,,,Plaza
660,185,3 United Nations Plaza,UNICEF House,South side of East 44th Street between First and Second Avenues,1987,6,1336,31,,,,,,,,,,,,,,,,,,Plaza
663,186,333 East 45th Street,Lausanne,North side of East 45th Street between First and Second Avenues,1974,6,1338,1001,1050,,,,,,,,,,,,,,,,,Plaza
662,187,320 East 46th Street,Belmont,South side of East 46th Street between First and Second Avenues,1981,6,1338,40,,,,,,,,,,,,,,,,,,Residential Plaza
664,188,301 East 45th Street,Delegate,Northeast corner of East 45th Street and Second Avenue,1979,6,1338,1001,1114,,,,,,,,,,,,,,,,,Residential Plaza
665,189,866 Second Avenue,Dag Hammarskjold Plaza,East side of Second Avenue between East 46th and 47th Streets,1971,6,1339,1,,,,,,,,,,,,,,,,,,Plaza
644,190,240 East 47th Street,Dag Hammarskjold Tower,West side of Second Avenue between East 46th and 47th Streets,1982,6,1320,1001,1250,,,,,,,,,,,,,,,,,Plaza
645,191,212 East 47th Street,L'Ecole,South side of East 47th Street between Second and Third Avenues,1979,6,1320,7,,,,,,,,,,,,,,,,,,Plaza
646,192,747 Third Avenue,,East side of Third Avenue between East 46th and 47th Streets,1972,6,1320,46,,,,,,,,,,,,,,,,,,Plaza
647,193,885 Second Avenue,1 Dag Hammarskjold Plaza,West side of Second Avenue between East 47th and 48th Streets,1972,6,1321,22,,,,,,,,,,,,,,,,,,Plaza
618,194,845 First Avenue,Trump World Tower,West side of First Avenue between East 47th and 48th Streets,2003,6,1340,13,,,37,38,40,43,44,,,,,,,,,,,Plaza
666,195,100 United Nations Plaza/871 United Nations Plaza,,North side of East 48th Street between First and Second Avenues/ West side of First Avenue between East 48th and 49th Streets,1985,6,1341,23,,,31,33-35,40,1001-1142,1401-1560,,,,,,,,,,,Plaza (Park-Like Open Space)
659,196,309 East 48th Street,Libya House,North side of East 48th Street between First and Second Avenues,1984,6,1341,6,,,,,,,,,,,,,,,,,,Plaza
648,197,767 Third Avenue,,Southeast corner of Third Avenue and East 48th Street,1981,6,1321,41,,,,,,,,,,,,,,,,,,Public Open Area
649,198,777 Third Avenue,,East side of Third Avenue between East 48th and 49th Streets,1963,6,1322,1,,,,,,,,,,,,,,,,,,Plaza
629,199,780 Third Avenue,,West side of Third Avenue between East 48th and 49th Streets,1984,6,1303,33,,,,,,,,,,,,,,,,,,
628,200,141 East 48th Street,Cosmopolitan,North side of East 48th Street between Third and Lexington Avenues,1985,6,1303,1001,1213,,,,,,,,,,,,,,,,,Residential Plaza
630,201,800 Third Avenue,,West side of Third Avenue between East 49th and 50th Streets,1972,6,1304,33,,,,,,,,,,,,,,,,,,Plaza
651,202,805 Third Avenue,Crystal Pavilion,East side of Third Avenue between East 49th and 50th Streets,1982,6,1323,47,,,,,,,,,,,,,,,,,,Plaza
650,203,255 East 49th Street,Sterling Plaza,Northwest corner of East 49th Street and Second Avenue,1985,6,1323,1101,1178,,,,,,,,,,,,,,,,,Plaza
652,204,825 Third Avenue,,Northeast corner of East 50th Street and Third Avenue,1969,6,1324,1,,,,,,,,,,,,,,,,,,Plaza
631,205,599 Lexington Avenue,,East side of Lexington Avenue between East 52nd and 53rd Streets,1985,6,1307,23,,,,,,,,,,,,,,,,,,Residential Plaza
632,206,153 East 53rd Street,Citigroup Center,Full blockfront on east side of Lexington Avenue between East 53rd and East 54th Streets,1975,6,1308,20,,,,,,,,,,,,,,,,,,
654,207,875 Third Avenue,,East side of Third Avenue between East 52nd and 53rd Streets,1980,6,1326,1,,,,,,,,,,,,,,,,,,Plaza
655,208,885 Third Avenue,,East side of Third Avenue between East 53rd and 54th Streets,1985,6,1327,1,,,,,,,,,,,,,,,,,,
667,209,300 East 54th Street,Connaught Tower,Southeast corner of Second Avenue and East 54th Street,1978,6,1346,1,,,,,,,,,,,,,,,,,,Plaza
675,210,400 East 54th Street,Revere,Southeast corner of First Avenue and East 54th Street,1972,6,1365,1301,1532,,,,,,,,,,,,,,,,,Plaza
674,211,420 East 54th Street,River Tower,South side of East 54th Street between Sutton Place South and First Avenue,1982,6,1365,8,,,,,,,,,,,,,,,,,,Residential Plaza
673,212,429 East 52nd Street,Rivercourt,North side of East 52nd Street between FDR Drive and First Avenue,1974,6,1364,34,,,,,,,,,,,,,,,,,,Residential Plaza
676,213,415 East 54th Street,St. James Tower,North side of East 54th Street between Sutton Place South and First Avenue,1983,6,1366,1001,1106,,,,,,,,,,,,,,,,,Plaza
657,214,245 East 54th Street,Brevard,West side of Second Avenue between East 54th and 55th Streets,1974,6,1328,17,21,,,,,,,,,,,,,,,,,Residential Plaza
656,215,909 Third Avenue,,East Side of Third Avenue between East 54th and 55th Streets,1967,6,1328,1,,,,,,,,,,,,,,,,,,Plaza
633,216,900 Third Avenue,,West side of Third Avenue between East 54th and 55th Streets,1983,6,1309,32,,,43,44,1001-1007,,,,,,,,,,,,,Residential Plaza
658,217,919 Third Avenue,,East side of Third Avenue between East 55th and 56th Streets,1970,6,1329,1,,,,,,,,,,,,,,,,,,Urban Plaza
677,218,400 East 56th Street,Plaza 400,Southeast corner of First Avenue and East 56th Street,1968,6,1367,1,,,,,,,,,,,,,,,,,,Urban Plaza
670,219,360 East 57th Street,Morrison,Southwest corner of East 57th Street and First Avenue,1972,6,1349,28,,,,,,,,,,,,,,,,,,Urban Plaza
634,220,950 Third Avenue,,Southwest corner of Third Avenue and East 57th Street,1971,6,1311,29,,,,,,,,,,,,,,,,,,Urban Plaza
635,221,150 East 58th Street,Architects and Designers,South side of East 58th Street between Third and Lexington Avenues,1969,6,1312,41,,,,,,,,,,,,,,,,,,Plaza
672,222,300 East 59th Street,Landmark,Southeast corner of Second Avenue and East 59th Street,1974,6,1351,1,,,,,,,,,,,,,,,,,,Open Space and Sidewalk Widenings
687,223,410 East 58th Street,New Yorker East,South side of East 58th Street between Sutton Place South and First Avenue,1974,6,1369,42,,,,,,,,,,,,,,,,,,Covered Pedestrian Space
678,224,425 East 58th Street,Sovereign,North side of East 58th Street between Sutton Place South and First Avenue,1973,6,1370,15,,,,,,,,,,,,,,,,,,Sidewalk Widening
681,225,418 East 59th Street,Grand Sutton,South side of East 59th Street between Sutton Place South and First Avenue,1988,6,1370,38,,,,,,,,,,,,,,,,,,Plaza
726,226,200 West 60th Street,Concerto,Full blockfront on west side of Amsterdam Avenue between West 59th and 60th Streets,1991,7,1151,1001,1003,,,,,,,,,,,,,,,,,Plaza
719,227,45 West 60th Street,Regent,Northeast corner of Columbus Avenue and West 60th Street,1982,7,1113,1,,,,,,,,,,,,,,,,,,
720,228,30 West 61st Street,Beaumont,South side of West 61st Street between Broadway and Columbus Avenue,1983,7,1113,1001,1167,,,,,,,,,,,,,,,,,Plaza
721,229,One Central Park West,Trump International Hotel and Tower,"Entire block bounded by Broadway, Central Park West, and West 61st Street",1970/1996,7,1113,29,,,,,,,,,,,,,,,,,,Residential Plaza
717,230,44 West 62nd Street,Lincoln Plaza Towers,Southeast corner of Columbus Avenue and West 62nd Street,1973,7,1114,61,,,,,,,,,,,,,,,,,,Urban Plaza
716,231,61 West 62nd Street,One Harkness Plaza/Harmony Atrium,North side of West 62nd Street between Broadway and Columbus Avenue,1979,7,1115,1,,,,,,,,,,,,,,,,,,Plaza
715,232,1886 Broadway,30 Lincoln Plaza,East side of Broadway between West 62nd and 63rd Streets,1978,7,1115,17,,,,,,,,,,,,,,,,,,Vest Pocket Park
714,233,1 Lincoln Plaza,One Lincoln Plaza,Full blockfront on east side of Broadway between West 63rd and 64th Streets,1971,7,1116,1001,1662,,,,,,,,,,,,,,,,,
727,234,75  West End Avenue,West End Towers,Full blockfronts on west side of West End Avenue between West 61st and 63rd Streets,1993,7,1171,63,,,,,,,,,,,,,,,,,,Residential Plaza
712,235,2 Lincoln Square,Two Lincoln Square,East side of Columbus Avenue between West 65th and 66th Streets,1974,7,1118,1,,,,,,,,,,,,,,,,,,Plaza
713,236,10 West 66th Street,,South side of West 66th Street between Central Park West and Columbus Avenue,1969,7,1118,22,,,,,,,,,,,,,,,,,,Plaza
709,237,80 Central Park West,,Northwest corner of Central Park West and West 68th Street,1967,7,1121,29,,,,,,,,,,,,,,,,,,Plaza
711,238,130 West 67th Street,Toulaine,South side of West 67th Street between Broadway and Amsterdam Avenue,1975,7,1138,53,,,,,,,,,,,,,,,,,,Urban Plaza
723,239,145 West 67th Street,Tower 67,Full blockfront on east side of Amsterdam Avenue between West 67th and 68th Streets,1985,7,1139,1,,,107,,,,,,,,,,,,,,,Plaza
724,240,1991 Broadway,Bel Canto,West side of Broadway between West 67th and 68th Streets,1985,7,1139,51,,,,,,,,,,,,,,,,,,Residential Plaza
707,241,2025 Broadway,Nevada Towers,"Block bounded by Broadway, Amsterdam Avenue, West 70th Street, and West 71st Street",1974,7,1141,1101,,,,,,,,,,,,,,,,,,Covered Pedestrian Space
706,242,201 West 70th Street,One Sherman Square,Full blockfront on west side of Broadway between West 70th and 71st Streets,1971,7,1162,29,,,,,,,,,,,,,,,,,,Plaza
705,243,200 West 79th Street,Gloucester,West side of Amsterdam Avenue between West 78th and 79th Streets,1975,7,1170,1001,1010,,,,,,,,,,,,,,,,,
801,244,118 East 60th Street,Plaza Tower,South side of East 60th Street between Lexington and Park Avenues,1965,8,1394,7,,,,,,,,,,,,,,,,,,Covered Pedestrian Space
899,245,750 Lexington Avenue,International Plaza,Full blockfront on west side of Lexington Avenue between East 59th and 60th Streets,1986,8,1394,13,,,,,,,,,,,,,,,,,,Pedestrian Circulation Space
808,246,200 East 61st Street,Savoy,Full blockfront on east side of Third Avenue between East 60th and 61st Streets,1985,8,1415,1001,1183,,,,,,,,,,,,,,,,,Plaza
875,247,303 East 60th Street,Evansview,North side of East 60th Street between First and Second Avenues,1987,8,1435,51,,,,,,,,,,,,,,,,,,Plaza
8100,248,401 East 60th Street,Bridge Tower Place,Full blockfront on east side of First Avenue between East 60th and 61st Streets,2001,8,1455,1,,,,,,,,,,,,,,,,,,Plaza
819,249,300 East 62nd Street,Paladin,Southeast corner of Second Avenue and East 62nd Street,1985,8,1436,1001,1111,,,,,,,,,,,,,,,,,Plaza
150,24A,2 Gold Street,,East side of Gold Street between Maiden Lane and Platt Street,under construction,1,69,4,,,10,18,23,,,,,,,,,,,,,Urban Plaza
809,250,200 East 62nd Street,Wellington Estates,Full blockfront on east side of Third Avenue between East 61st and 62nd Streets,1966,8,1416,2,,,,,,,,,,,,,,,,,,Residential Plaza
802,251,167 East 61st Street,Trump Plaza,Full blockfront of west side of Third Avenue between East 61st and 62nd Streets,1983,8,1396,32,,,,,,,,,,,,,,,,,,Residential Plaza
804,252,188 East 64th Street,Royale,Full blockfront on west side of Third Avenue between East 63rd and 64th Streets,1987,8,1398,1001,1207,,,,,,,,,,,,,,,,,Plaza
810,253,200 East 64th Street,Carlton Towers,Southeast corner of Third Avenue and East 64th Street,1969,8,1418,45,,,,,,,,,,,,,,,,,,Plaza
812,254,200 East 65th Street,Bristol,Full blockfront on east side of Third Avenue between East 64th and 65th Streets,1987,8,1419,1101,1408,,,,,,,,,,,,,,,,,Arcade
805,255,160 East 65th Street,Phoenix,Full blcokfront on west side of Third Avenue between East 64th and 65th Streets,1969,8,1399,33,,,,,,,,,,,,,,,,,,Residential Plaza
811,256,220 East 65th Street,Concorde,South side of East 65th Street between Second and Third Avenues,1979,8,1419,1501,1791,,,,,,,,,,,,,,,,,Plaza
821,257,304 East 65th Street,Rio,Southeast corner of Second Avenue and East 65th Street,1987,8,1439,4,,,148 (1001-1139),,,,,,,,,,,,,,,
813,258,265 East 66th Street,,Full blockfront on west side of Second Avenue between East 66th and 67th Streets,1975,8,1421,21,,,,,,,,,,,,,,,,,,
814,259,254 East 68th Street,,Full blockfront on west side of Second Avenue between East 67th and 68th Streets,1973,8,1422,21,,,,,,,,,,,,,,,,,,Plaza
886,260,200 East 69th Street,Trump Palace,Full blockfront on east side of Third Avenue between East 68th and 69th Streets,1991,8,1423,1001,1416,,,,,,,,,,,,,,,,,
806,261,733 Park Avenue,,Southeast corner of Park Avenue and East 71st Street,1970,8,1405,72,,,,,,,,,,,,,,,,,,Plaza
882,262,211 East 70th Street,,North side of East 70th Street between Second and Third Avenues,1975,8,1425,5,,,,,,,,,,,,,,,,,,Plaza
829,263,400 East 71st Street,Windsor,Full blockfront on east side of First Avenue between East 70th and 71st Streets,1979,8,1465,1,,,,,,,,,,,,,,,,,,Residential Plaza
827,264,400 East 70th Street,Kingsley,Southeast corner of First Avenue and East 70th Street,1983,8,1464,1001,1201,,,,,,,,,,,,,,,,,Plaza
876,265,524 East 72nd Street,Belaire,South side of East 72nd Street between FDR Drive and York Avenue,1988,8,1483,1001,1147,,,,,,,,,,,,,,,,,Residential Plaza
898,266,422 East 72nd Street,Oxford,South side of East 72nd Street between First and York Avenues,1990,8,1466,29,,,,,,,,,,,,,,,,,,Plaza
816,267,220 East 72nd Street,,South side of East 72nd Street between Second and Third Avenues,1974,8,1426,9035,,,,,,,,,,,,,,,,,,Plaza
823,268,300 East 74th Street,,Southeast corner of Second Avenue and East 74th Street,1967,8,1448,3,,,,,,,,,,,,,,,,,,Residential Plaza
822,269,353 East 72nd Street,Fontaine,North side of East 72nd Street between First and Second Avenues,1975,8,1447,19,,,,,,,,,,,,,,,,,,
831,270,1365 York Avenue,Somerset,Full blockfront on west side of York Avenue between East 72nd and 73rd Streets,1977,8,1467,21,,,,,,,,,,,,,,,,,,Residential Plaza
880,271,525 East 72nd Street,One East River Place,North side of East 72nd Street between FDR Drive and York Avenue,1988,8,1484,19,,,24, parts of 16,26,,,,,,,,,,,,,Residential Plaza
830,272,1385 York Avenue,Stratford,Full blockfront on west side of York Avenue between East 73rd and 74th Streets,1969,8,1468,21,,,,,,,,,,,,,,,,,,Plaza
897,273,330 East 75th Street,Saratoga,Southwest corner of First Avenue and East 75th Street,1985,8,1449,26,,,,,,,,,,,,,,,,,,Variance Arcade
825,274,300 East 75th Street,Fairmont,Southeast corner of Second Avenue and East 75th Street,1979,8,1449,3,,,,,,,,,,,,,,,,,,Residential Plaza
871,275,515 East 79th Street,Asten House,North side of East 79th Street between East End and York Avenues,1982,8,1576,14,,,,,,,,,,,,,,,,,,Plaza
853,276,301 East 79th Street,Continental Towers,Northeast corner of Second Avenue and East 79th Street,1977,8,1542,1101,1545,,,,,,,,,,,,,,,,,Plaza
837,277,178 East 80th Street,Kenilworth,South side of East 80th Street between Third and Lexington Avenues,1972,8,1508,38,,,,,,,,,,,,,,,,,,Urban Plaza
833,278,900 Park Avenue,Park 900,Northwest corner of Park Avenue and East 79th Street,1973,8,1491,35;1001,1295,,,,,,,,,,,,,,,,,
803,279,980 Fifth Avenue,,Northeast corner of Fifth Avenue and East 79th Street,1967,8,1491,1,,,,,,,,,,,,,,,,,,
832,280,985 Fifth Avenue,,East side of Fifth Avenue between East 79th and 80th Streets,1969,8,1491,4,,,,,,,,,,,,,,,,,,
854,281,345 East 80th Street,East Winds,Full blockfront on west side of First Avenue between East 80th and 81st Streets,1973,8,1543,1001,1335,,,,,,,,,,,,,,,,,
864,282,401 East 80th Street,,Full blockfront on east side of First Avenue between East 80th and 81st Streets,1980,8,1560,1,,,,,,,,,,,,,,,,,,Plaza
872,283,1520 York Avenue,Caldwell,Northeast corner of York Avenue and East 80th Street,1972,8,1577,1,,,,,,,,,,,,,,,,,,Plaza
873,284,60 East End Avenue,,Northwest corner of East End Avenue and East 82nd Street,1972,8,1579,19,,,32,34,,,,,,,,,,,,,,Plaza
846,285,200 East 82nd Street,Wimbledon,Southeast corner of Third Avenue and East 82nd Street,1980,8,1527,41,,,48,146,,,,,,,,,,,,,,
855,286,303 East 83rd Street,Camargue,Northeast corner of Second Avenue and East 83rd Street,1977,8,1546,1,,,,,,,,,,,,,,,,,,Plaza
856,287,353 East 83rd Street,,Northwest corner of First Avenue and East 83rd Street,1968,8,1546,23,,,,,,,,,,,,,,,,,,
894,288,400 East 84th Street,Strathmore,Southeast corner of First Avenue and East 84th Street,1989,8,1563,4-Jan,,,,,,,,,,,,,,,,,,Plaza
866,289,401 East 84th Street,Dunhill,Northeast corner of First Avenue and East 84th Street,1987,8,1564,5,,,,,,,,,,,,,,,,,,Special Permit Plaza
857,290,351 East 84th Street,Adams Tower,Full blockfront on west side of First Avenue between East 84th and 85th Streets,1969,8,1547,23,,,,,,,,,,,,,,,,,,Plaza
858,291,300 East 85th Street,America,Southeast corner of Second Avenue and East 85th Street,1987,8,1547,2,,,104,,,,,,,,,,,,,,,Plaza
839,292,171 East 84th Street,Evans Tower,Northwest corner of Third Avenue and East 84th Street,1986,8,1513,1001,1166,,,,,,,,,,,,,,,,,Landscaped Plaza
841,293,111 East 85th Street,,North side of East 85th Street between Lexington and Park Avenues,1971,8,1514,8,,,,,,,,,,,,,,,,,,Covered Plaza
868,294,444 East 86th Street,,South side of East 86th Street between York and First Avenues,1974,8,1565,17,,,,,,,,,,,,,,,,,,Plaza
878,295,455 East 86th Street,Channel Club,Northwest corner of York Avenue and East 86th Street,1986,8,1566,22,,,29,126,128, 1001-1150,,,,,,,,,,,,
859,296,301 East 87th Street,Corniche,Northeast corner of Second Avenue and East 87th Street,1974,8,1550,1,,,,,,,,,,,,,,,,,,Residential Plaza
848,297,250 East 87th Street,Newbury,Full blockfront on west side of Second Avenue between East 86th and 87th Streets,1970,8,1532,30,,,,,,,,,,,,,,,,,,Residential Plaza
849,298,201 East 87th Street,Claridge House,Full blockfront on east side of Third Avenue between East 87th and 88th Streets,1975,8,1533,1,,,,,,,,,,,,,,,,,,Plaza
843,299,115 East 87th Street,Carnegie Towers,North side of East 87th Street between Lexington and Park Avenues,1972,8,1516,9007,,,,,,,,,,,,,,,,,,Residential Plaza
842,300,1065 Park Avenue,Carlton Park,Northeast corner of Park Avenue and East 87th Street,1974,8,1516,1,,,,,,,,,,,,,,,,,,Covered Plaza
834,301,50 East 89th Street,Park Regis,South side of East 89th Street between Park and Madison Avenues,1974,8,1500,45,,,,,,,,,,,,,,,,,,
850,302,200 East 89th Street,Monarch,Southeast corner of Thrid Avenue and East 89th Street,1988,8,1534,1001,1262,,,,,,,,,,,,,,,,,Public Open Space
869,303,1675 York Avenue,Andover,Full blockfront on west side of York Avenue between East 88th and 89th Streets,1974,8,1568,21,,,,,,,,,,,,,,,,,,Public Open Spaces
870,304,1725 York Avenue,East River Towers,Full blockfront on west side of York Avenue between East 89th and 90th Streets,1970,8,1569,16,,,,,,,,,,,,,,,,,,
851,305,200 East 90th Street,,Southeast corner of Third Avenue and East 90th Street,1974,8,1535,3,,,,,,,,,,,,,,,,,,Plaza
835,306,45 East 89th Street,,East side of Madison Avenue between East 89th and 90th Streets,1969,8,1501,1001,1005,,,,,,,,,,,,,,,,,Residential Plaza
836,307,40 East 94th Street,Carnegie Hill Tower,Southeast corner of Madison Avenue and East 94th Street,1983,8,1505,1040,1267,,,,,,,,,,,,,,,,,Plaza
862,308,300 East 93rd Street,Waterford,Southeast corner of Second Avenue and East 93rd Street,1987,8,1555,3,,, 1101-1323,,,,,,,,,,,,,,,Residential Plaza
860,309,340 East 93rd Street,Plymouth Tower,Full blockfront on west side of First Avenue between East 92nd and 93rd Streets,1977,8,1555,23,,,,,,,,,,,,,,,,,,Plaza
861,310,345 East 93rd Street,Mill Rock Plaza,Full blockfront on west side of First Avenue between East 93rd and 94th Streets,1975,8,1556,23,,,,,,,,,,,,,,,,,,Plaza
885,311,301 East 94th Street,Marmara Manhattan,Northeast corner of Second Avenue and East 94th Street,1989,8,1557,1,,,,,,,,,,,,,,,,,,
844,312,182 East 95th Street,Highgate,Southwest corner of Third Avenue and East 95th Street,1980,8,1523,34,40,,,,,,,,,,,,,,,,,Residential Plaza
815,313,205 East 95th Street,Normandie Court,East side of Third Avenue between East 95th and 96th Streets,1985,8,1541,1,,,,,,,,,,,,,,,,,,Plaza
889,314,235 East 95th Street,Normandie Court,North side of East 95th Street between First and Second Avenues,1986,8,1541,21,,,,,,,,,,,,,,,,,,Plaza
893,315,1850 Second Avenue,,East side of Second Avenue between East 95th and 96th Streets,1987,8,1558,85,,,,,,,,,,,,,,,,,,Residential Plaza
1101,316,175 East 96th Street,Monterey,Northwest corner of Third Avenue and East 96th Street,1992,11,1624,33,,,,,,,,,,,,,,,,,,Plaza
B203,317,MetroTech Center,,"Bounded by Jay Street, Tech Place, Bridge Street, Tillary Street, Flatbush Avenue, Duffield Street, and Willoughby Street",1990,B2,142,143,,,2047,2059,,,,,,,,,,,,,,Residential Plaza
B202,318,350 Jay Street,Renaissance Plaza,West side of Jay Street between Willoughby Street and Tech Place,1998,B2,140,27,,,,,,,,,,,,,,,,,,Plaza
B201,319,130 Livingston Street,Livingston Plaza,"Full block bounded by Livingston Street, Schermerhorn Street, Smith Street, and Boerem Place",1991,B2,163,1,,,,,,,,,,,,,,,,,,Plaza
B207,320,230 Ashland Place,Clarett Brooklyn,Ashland Place and Fulton Street,2007,BK 2,2095,53,,,,,,,,,,,,,,,,,,Residential Plaza
Q201,320,1 Court Square,Citicorp at Court Square,"Block bounded by Jackson Avenue, 45th Avenue, 23rd Street, and 44th Drive",1989,Q2,79,18,,,,,,,,,,,,,,,,,,Plaza
151,36A,123 Washington Street,,,under construction,1,53,23,,,,,,,,,,,,,,,,,,
206,44A,246 Spring Street,,East side of Varick Street between Dominick and Spring Streets,not in construction,2,491,34,,,,,,,,,,,,,,,,,,
207,46A,26 Astor Place,Astor Place,South side of Astor Place between Lafayette Street and Cooper Square,under construction,2,544,22,,,,,,,,,,,,,,,,,,Residential Plaza
5109,64A,325 Fifth Avenue,,East side of Fifth Avenue between East 32nd and East 33 Streets,in construction,5,862,3,,,,,,,,,,,,,,,,,,
5110,69A,839 Sixth Avenue,,West side of Sixth Avenue between West 29th and West 30th Streets,under construction,5,805,59,,,,,,,,,,,,,,,,,,Residential Plaza
406,,500 West 43rd Street,Strand,Southwest corner of West 43rd Street and Tenth Avenue,,4,1071,1001,1013,,,,,,,,,,,,,,,,,Plaza
573,,466 Lexington Avenue,Park Avenue Atrium,West side of Lexington Avenue between East 45th and 46th Streets,1983/1920,5,1300,6,,,,,,,,,,,,,,,,,,Plaza
5104,,1585 Broadway,,,,5,1019,1101 to 1141,,,,,,,,,,,,,,,,,,
5105,,239 West 52nd Street,Roseland,,,5,1024,7,,,,,,,,,,,,,,,,,,Plaza
523,,540 Madison Avenue,Finland House,Southwest corner of East 55th Street and Madison Avenue,1970,5,1290,56,,,,,,,,,,,,,,,,,,
544,,600 Fifth Avenue,Manufacturers Hanover Trust,Northwest corner of  West 48th Street and Fifth Avenue,1952,5,1264,30,,,,,,,,,,,,,,,,,,Residential Plaza
556,,1500 Broadway,,East side of Broadway between West 43rd and 44rd Streets,1972,5,996,1,,,,,,,,,,,,,,,,,,Plaza
101,,Madison Avenue,,"Full block bounded by Broadway,  Church Street, Thomas Street and Worth Street",1970,1,152,13,,,,,,,,,,,,,,,,,,Plaza
1102,,1180 Fifth Avenue,Mount Sinai Hospital,,,11,1604,6,,,,,,,,,,,,,,,,,,Plaza
135,,199 Water Street,One Seaport Plaza,"Between Fulton, John, and Water Streets",1984,1,74,40,,,,,,,,,,,,,,,,,,Plaza
136,,7 World Trade Center,,"Full block bounded by  Vesey Street, Washington Street, Barclay Street and West Broadway",1987,1,84,36,,,,,,,,,,,,,,,,,,Plaza
139,,Chase Manhattan Plaza,Chase Manhattan Bank,"Between Pine, William, and Liberty Streets",1960,1,44,1,,,,,,,,,,,,,,,,,,Plaza
598,,57 East 57th Street,Four Seasons Hotel,North side of East 57th Street between Madison and Park Avenues,,5,1293,1001,1003,,,,,,,,,,,,,,,,,Plaza
599,,120 West 45th Street,Tower 45,South side of West 45th Street between Sixth and Seventh Avenues,1986 ?,5,997,41,,,,,,,,,,,,,,,,,,Residential Plaza
601,,160 Third Avenue,Gramercy Spire,West side of Third Avenue between East 15th and 16th Streets,1963,6,871,44,,,,,,,,,,,,,,,,,,Plaza
604,,157 East 32nd Street,L'Isola,North side of East 32nd Street between Lexington and Third Avenues,1987,6,888,33,,,,,,,,,,,,,,,,,,Residential Plaza
613,,200 East 27th Street,Victoria House,West side of Second Avenue between East 26th and 27th Streets,1965,6,907,56,,,,,,,,,,,,,,,,,,Plaza
840,,1524 Third Avenue,,Full blockfront on west side of Third Avenue between East 85th and 86th Streets,1966,8,1514,39,,,,,,,,,,,,,,,,,,
845,,211 East 79th Street,,North side of East 79th Street between Second and Third Avenues,1966,8,1525,5,,,,,,,,,,,,,,,,,,Residential Plaza
847,,233 East 86th Street,Park East,North side of East 86th Street between Second and Third Avenues,1983,8,1532,12,,,,,,,,,,,,,,,,,,
636,,633 Third Avenue,Continental Conco,East side of Third Avenue between East 40th and 41st Streets,1961,6,1314,9,,,,,,,,,,,,,,,,,,Open Plaza
642,,234 East 46th Street,,South side of East 46th Street between Second and Third Avenues,1986,6,1319,34,,,,,,,,,,,,,,,,,,
668,,300 East 56th Street,Bristol,Southeast corner of East 56th Street and Second Avenue,1974,6,1348,14,,,,,,,,,,,,,,,,,,Plaza
669,,325 East 56th Street,Bamford,North side of East 56th Street between First and Second Avenues,1980,6,1349,14,,,,,,,,,,,,,,,,,,Plaza
671,,303 East 57th Street,Excelsior,East side of Second Avenue between East 57th and 58th Streets,1967,6,1350,1,,,,,,,,,,,,,,,,,,Residential Plaza
701,,275 West 96th Street,Columbia,Northwest corner of Broadway and West 96th Street,1983,7,1868,1001,1311,,,,,,,,,,,,,,,,,Plaza
702,,700 Columbus Avenue,Jefferson Towers,West side of Columbus Avenue between West 94th and 95th Streets,1968,7,1225,29,,,,,,,,,,,,,,,,,,
703,,70 West 95th Street,,Southeast corner of West 95th Street and Columbus Avenue,1968,7,1208,1,,,,,,,,,,,,,,,,,,Residential Plaza
