DCP RECORD,Book ID .,Building Address,Building Name,Building Location,Year Completed,Community District,Block,Lot,,,,,,,,,,,,,,,,,,Public Space 1
102,042,101 Barclay Street,,"Full block bounded by Barclay, Greenwich, Murray, and West Streets",1983,1,128,2,,,,,,,,,,,,,,,,,,Building Entrance Recess Area
148,043,105 Duane Street,Tribeca Tower,North side of Duane Street between Broadway and Trimble Place,1989,1,151,1,,,22,,,,,,,,,,,,,,,Through Block Connection
137,044,388 Greenwich Street,Salomon Smith Barney,"Full block bounded by Greenwich, West, North Moore, and Hubert Streets",1986,1,216,1,,,24,,,,,,,,,,,,,,,Through Block Connection
203,045,375 Hudson Street,Saatchi & Saatchi,"Full block bounded by Hudson, Greenwich, King Streets, and West Houston Streets",1987,2,599,64,,,,,,,,,,,,,,,,,,Through Block Connection
202,046,300 Mercer Street,,Northeast corner of Mercer Street and Waverly Place,1974,2,548,70,,,,,,,,,,,,,,,,,,Urban Plaza
201,047,60 East 8th Street,Georgetown Plaza,Southeast corner of East 8th and Mercer Streets,1966,2,548,1001,1003,,,,,,,,,,,,,,,,,
204,048,99 Jane Street,,Full blockfront on west side of Washington Street between Jane and Horatio Streets,1999,2,642,14,,,,,,,,,,,,,,,,,,
409,049,650 West 42nd Street,River Place,"Block bounded by Eleventh Avenue, Twelfth Avenue, West 41st Street, and West 42nd Street",under construction,4,1089,1,,,,,,,,,,,,,,,,,,Through Block Connection
404,050,825 Eighth Avenue,One Worldwide Plaza,"Entire block bounded by Eighth Avenue, Ninth Avenue, West 49th Street and West 50th Street",1989,4,1040,29,,,,,,,,,,,,,,,,,,Urban Plaza
407,051,330 West 56th Street,,South side of West 56th Street between Eighth and Ninth Avenues,1974,4,1046,47,,,,,,,,,,,,,,,,,,Through Block Lobby
403,052,322 West 57th Street,Sheffield,South side of West 57th Street between Eighth and Ninth Avenues,1978,4,1047,18,,,,,,,,,,,,,,,,,,Residential Plaza
402,053,347 West 57th Street,Colonnade,North side of West 57th Street between Eighth and Ninth Avenues,1976,4,1048,1001,1250,,,,,,,,,,,,,,,,,Plaza
401,054,555 West 57th Street,BMW,Full blockfront on east side of Eleventh Avenue between West 57th and 58th Streets,1971,4,1086,1,,,,,,,,,,,,,,,,,,Urban Plaza
408,055,1000 Tenth Avenue,St. Luke's-Roosevelt Hospital Center,"Full block bounded by Ninth Avenue, Tenth  Avenue, West 58th Street, and West 59th Street",1990,4,1068,1,,,,,,,,,,,,,,,,,,Through Block Arcade
571,056,108 Fifth Avenue,,Southwest corner of West 16th Street Fifth Avenue,1986,5,817,1001,1052,,,,,,,,,,,,,,,,,Plaza
570,057,5 East 22nd Street,Madison Green,Full blockfront on east side of Broadway between East 22nd and 23rd Streets,1983,5,851,1001,1435,,63,,,,,,,,,,,,,,,Covered Pedestrian Space
572,058,50 Lexington Avenue,,Northwest corner of East 24th Street and Lexington Avenue,1987,5,880,19,,,,,,,,,,,,,,,,,,Arcade
594,059,45 East 25th Street,Stanford,North side of East 25th Street between Park Avenue South and Madison Avenue,1986,5,855,1001,1127,,,,,,,,,,,,,,,,,Plaza
569,060,41 Madison Avenue,New York Merchandise Mart,Southeast corner of East 26th Street and Madison Avenue,1972,5,855,1,,,,,,,,,,,,,,,,,,Plaza
5107,060A,774 Sixth Avenue,,East side of Sixth Avenue between West 26th and West 27th Streets,2002,5,828,1,,,74,77,80,,,,,,,,,,,,,Covered Pedestrian Space
517,061,230 West 27th Street,,South side of West 27th Street between Seventh and Eighth Avenues,1974,5,776,55,,,,,,,,,,,,,,,,,,Plaza
551,062,10 East 29th Street,Madison Belvedere,South side of East 29th Street between Madison and Fifth Avenues,2001,5,858,8,,,17,,,,,,,,,,,,,,,Residential Plaza
593,063,407 Park Avenue South,Ascot,Northeast corner of East 28th Street and Park Avenue South,1984,5,884,1,,,,,,,,,,,,,,,,,,Plaza
566,064,475 Park Avenue South,,Southeast corner of East 32nd Street and Park Avenue South,1969,5,887,95,,,,,,,,,,,,,,,,,,Plaza
567,065,1250 Broadway,,Full blockfront on the east side of Broadway between West 31st and 32nd Streets,1968,5,833,11,,,,,,,,,,,,,,,,,,
568,066,2 Pennsylvania Plaza,Two Penn Plaza/MadisonSquare Garden,Full blocks between Seventh and Eighth Avenues and West 31st and 33rd Streets,1967,5,781,1,,,,,,,,,,,,,,,,,,Urban Plaza
564,067,1 Pennsylvania Plaza,One Penn Plaza,Full block between Seventh and Eighth Avenues and West 33rd and 34th Streets,1972,5,783,1,,,,,,,,,,,,,,,,,,Urban Plaza
565,068,3 Park Avenue,Three Park Avenue,Full blockfront on east side of Park Avenue between East 33rd and 34th Streets,1974,5,889,1,,,,,,,,,,,,,,,,,,Plaza
582,069,420 Fifth Avenue,,Full blockfront on west side of Fifth Avenue between West 37th and 38th Streets,1989,5,839,1001,1035,,,,,,,,,,,,,,,,,Plaza
5103,069A,425 Fifth Avenue,,Northeast corner of Fifth Avenue and East 38th Street,Under Construction,5,868,1,,,,,,,,,,,,,,,,,,Plaza
562,070,445 Fifth Avenue,Fifth Avenue Tower,Northeast corner of East 39th Street and  Fifth Avenue,1985,5,869,1001,1183,,,,,,,,,,,,,,,,,Plaza
563,071,1411 Broadway,World Apparel Center,Full block bounded by Broadway and Seventh Avenue and West 39th and 40th Streets,1968,5,815,1,,,,,,,,,,,,,,,,,,Plaza
560,072,1095 Sixth Avenue,Verizon,Full blockfront on west side of Sixth Avenue between West 41st and 42nd Streets,1971,5,994,33,,,,,,,,,,,,,,,,,,Plaza
592,073,489 Fifth Avenue,,East side of Fifth Avenue between East 41st and 42nd Streets,1972,5,1276,4,,,,,,,,,,,,,,,,,,Plaza
559,074,120 Park Avenue,Philip Morris,Southwest corner of East 42nd Street and Park Avenue,1982,5,1276,33,,,,,,,,,,,,,,,,,,Through Block Arcade
561,075,101 Park Avenue,,Full blockfront on the east side of Park Avenue between East 40th and 41st Streets,1983,5,1295,1,,,,,,,,,,,,,,,,,,Plaza
558,076,6 East 43rd Street,Emigrant Savings Bank,South side of East 43rd Street between Madison and Fifth Avenues,1968,5,1277,8,,,,,,,,,,,,,,,,,,Covered Pedestrian Space
